years_experience,education_level,job_role,performance_score,certifications_count,work_hours_per_week,salary
7.8,Master's,HR,2.0,5,20.1,98511.82
19.0,Bachelor's,Software Engineer,4.9,1,50.9,171947.26
14.8,Bachelor's,Analyst,1.2,4,41.1,126533.34
12.2,Master's,Manager,3.1,2,23.4,154024.7
3.5,Bachelor's,HR,4.6,5,24.8,88163.41
3.5,Master's,Data Scientist,2.9,4,43.6,109576.17
1.6,PhD,HR,4.4,5,32.6,97502.56
17.4,Bachelor's,Software Engineer,4.8,1,38.0,156724.54
12.2,Master's,Manager,1.3,2,42.0,155216.83
14.3,Bachelor's,Data Scientist,3.0,5,42.9,150062.52
0.9,Bachelor's,Manager,3.7,1,43.3,95023.05
19.4,Bachelor's,Manager,4.3,5,22.8,185771.0
16.7,Bachelor's,HR,1.7,1,49.6,136201.15
4.6,Bachelor's,Analyst,3.3,4,31.7,84010.25
4.0,Bachelor's,HR,1.7,2,24.6,73701.42
4.1,PhD,Data Scientist,4.0,4,24.1,121276.72
6.4,Master's,Software Engineer,2.1,5,29.5,117218.46
10.7,PhD,HR,2.1,2,45.1,125447.6
8.9,Master's,Analyst,4.1,0,38.9,113726.63
6.2,Bachelor's,Analyst,4.4,0,24.3,90319.99
12.4,Bachelor's,HR,2.4,2,21.3,112122.01
3.2,Bachelor's,Data Scientist,3.0,4,21.0,97242.33
6.2,Bachelor's,Analyst,3.8,3,36.8,95561.14
7.6,Master's,Analyst,4.0,2,51.5,116720.31
9.4,Master's,Data Scientist,4.1,1,42.9,134149.83
15.8,Bachelor's,Data Scientist,2.6,0,52.4,149182.74
4.4,Bachelor's,Data Scientist,3.1,2,32.8,98235.97
10.5,Bachelor's,Data Scientist,1.4,2,25.6,117439.42
12.1,Bachelor's,HR,4.8,2,52.1,119790.88
1.4,Bachelor's,HR,3.8,1,49.1,70624.37
12.3,Master's,Manager,2.5,4,43.6,163350.97
3.8,Bachelor's,Manager,2.6,3,55.5,112140.36
1.8,Master's,Manager,1.4,1,45.2,102348.21
19.0,Bachelor's,Analyst,2.8,3,41.0,156223.09
19.3,Bachelor's,Data Scientist,3.7,0,40.1,165851.29
16.3,Master's,HR,4.8,3,44.7,154361.62
6.4,Master's,HR,3.6,3,40.7,97817.4
2.4,Bachelor's,Data Scientist,3.6,0,30.9,89563.42
13.8,PhD,Manager,4.1,1,58.2,178258.11
9.1,Bachelor's,Analyst,3.0,1,58.3,102160.45
2.9,Bachelor's,HR,1.1,0,26.7,60448.39
10.2,Master's,Software Engineer,4.6,1,41.2,127343.22
1.2,Master's,Analyst,2.6,4,51.6,83458.85
18.2,Bachelor's,Analyst,4.9,5,22.2,157964.83
5.5,Bachelor's,Manager,2.6,3,24.9,109701.42
13.4,PhD,Data Scientist,3.7,1,41.8,160267.86
6.6,Bachelor's,Software Engineer,2.8,3,21.1,97139.62
10.6,Bachelor's,Manager,1.9,5,53.3,143664.11
11.2,Master's,Data Scientist,4.7,5,54.9,153559.11
4.1,PhD,Software Engineer,3.5,1,49.5,116937.5
19.4,Bachelor's,HR,2.8,3,52.9,156776.43
15.6,Master's,Software Engineer,1.6,0,46.9,146180.01
18.8,Master's,Manager,5.0,0,25.7,192297.53
17.9,Bachelor's,Software Engineer,4.6,0,21.2,154869.33
12.2,Master's,Software Engineer,2.7,4,53.9,150335.09
18.5,PhD,Software Engineer,1.7,4,48.3,179409.93
2.2,Bachelor's,HR,1.1,0,35.9,54391.7
4.3,Bachelor's,Data Scientist,1.6,3,51.9,94864.0
1.4,PhD,Software Engineer,3.1,0,22.1,95526.55
6.8,Master's,Analyst,4.3,0,32.8,100557.13
8.1,Bachelor's,Manager,2.5,2,33.7,127059.48
5.8,Master's,Analyst,2.7,4,24.2,104669.71
16.7,Master's,Data Scientist,2.9,4,49.7,165307.45
7.5,Master's,Manager,1.1,0,51.1,126680.55
